id,population_rank
85632161,10
85632163,9
85632167,12
85632169,9
85632171,11
85632173,12
85632179,12
85632181,16
85632185,7
85632187,2
85632189,15
85632191,15
85632197,15
85632199,5
85632205,7
85632207,12
85632211,4
85632213,14
85632215,12
85632221,15
85632223,15
85632227,15
85632229,15
85632231,16
85632233,9
85632235,12
85632241,13
85632243,14
85632245,15
85632247,14
85632249,12
85632253,15
85632257,16
85632259,11
85632261,14
85632263,10
85632267,12
85632269,14
85632271,12
85632275,8
85632279,12
85632281,15
85632283,6
85632285,14
85632287,11
85632289,15
85632293,16
85632295,8
85632299,12
85632301,1
85632303,14
85632305,10
85632307,14
85632313,15
85632315,13
85632317,15
85632319,11
85632323,13
85632325,14
85632329,15
85632331,7
85632335,9
85632337,1
85632339,10
85632343,8
85632347,13
85632351,11
85632355,13
85632357,12
85632359,14
85632361,16
85632365,14
85632369,9
85632371,5
85632373,12
85632375,11
85632379,14
85632383,14
85632385,14
85632391,12
85632393,16
85632395,13
85632397,11
85632401,12
85632403,15
85632405,12
85632407,12
85632413,15
85632421,8
85632423,10
85632425,13
85632427,18
85632429,17
85632431,9
85632433,14
85632437,12
85632439,12
85632441,9
85632443,11
85632445,13
85632449,15
85632451,15
85632455,9
85632459,4
85632461,8
85632465,15
85632467,13
85632469,18
85632473,10
85632475,17
85632481,6
85632483,13
85632485,5
85632487,12
85632491,10
85632493,4
85632495,2
85632497,3
85632499,15
85632503,8
85632505,15
85632509,17
85632511,12
85632513,13
85632517,4
85632519,15
85632521,15
85632523,9
85632527,11
85632529,8
85632531,10
85632533,12
85632535,12
85632539,13
85632541,12
85632545,13
85632547,8
85632549,1
85632551,8
85632553,14
85632555,18
85632557,18
85632559,14
85632563,17
85632569,9
85632571,10
85632573,13
85632581,16
85632583,12
85632585,6
85632587,1
85632589,13
85632591,11
85632593,8
85632599,13
85632603,12
85632605,12
85632607,5
85632609,12
85632611,7
85632623,14
85632625,15
85632627,13
85632629,7
85632635,12
85632639,15
85632641,4
85632643,16
85632645,15
85632647,13
85632649,14
85632653,10
85632657,13
85632659,17
85632661,8
85632663,8
85632667,11
85632671,13
85632675,14
85632677,5
85632679,12
85632681,9
85632691,14
85632693,15
85632695,18
85632697,8
85632701,18
85632703,14
85632707,15
85632709,9
85632711,15
85632713,14
85632715,4
85632717,13
85632721,10
85632729,15
85632731,8
85632733,13
85632735,17
85632737,7
85632739,15
85632747,6
85632749,10
85632751,15
85632755,11
85632757,12
85632761,13
85632763,16
85632765,9
85632773,12
85632781,13
85632785,13
85632789,7
85632997,14
85633001,13
85633009,17
85633041,14
85633051,13
85633105,14
85633111,16
85633121,13
85633129,15
85633135,12
85633143,13
85633147,16
85633153,7
85633159,16
85633163,12
85633167,7
85633171,14
85633217,8
85633229,12
85633237,13
85633241,12
85633249,10
85633253,16
85633259,12
85633267,7
85633269,12
85633275,11
85633279,12
85633285,7
85633287,12
85633293,17
85633331,10
85633337,14
85633341,13
85633723,15
85633729,12
85633735,14
85633739,12
85633745,14
85633755,13
85633763,7
85633769,13
85633779,12
85633789,13
85633793,17
85633805,15
85633813,16
85667489,9
85667493,10
85667497,12
85667503,10
85667505,12
85667509,11
85667513,10
85667519,11
85667523,10
85667527,10
85667531,11
85667537,9
85667541,10
85667545,10
85667549,11
85667555,10
85667561,12
85667563,10
85667567,10
85667573,11
85667577,9
85667581,10
85667585,11
85667591,12
85667595,11
85667601,11
85667603,12
85667609,10
85667615,11
85667617,10
85667623,10
85667627,11
85667631,10
85667635,11
85667641,10
85667645,11
85667651,11
85667653,11
85667657,10
85667659,10
85667665,12
85667669,13
85667673,12
85667677,11
85667683,11
85667687,12
85667691,12
85667695,11
85667701,11
85667705,12
85667707,12
85667711,11
85667717,10
85667721,2
85667725,2
85667729,2
85667735,2
85667739,2
85667743,3
85667749,2
85667755,2
85667759,3
85667761,3
85667765,2
85667771,2
85667775,3
85667779,2
85667783,10
85667789,10
85667797,8
85667801,9
85667807,10
85667811,9
85667815,10
85667819,8
85667821,9
85667829,9
85667831,11
85667835,4
85667843,4
85667845,3
85667849,2
85667853,2
85667857,2
85667863,3
85667867,3
85667871,6
85667875,3
85667881,2
85667885,2
85667889,1
85667893,2
85667899,2
85667903,2
85667923,7
85667925,5
85667929,4
85667933,4
85667939,6
85667941,6
85667945,5
85667951,9
85667955,7
85667959,9
85667969,9
85667977,11
85667981,12
85667983,12
85667991,10
85667995,9
85667997,11
85668001,11
85668007,12
85668011,11
85668015,14
85668019,10
85668025,11
85668029,10
85668031,12
85668035,10
85668041,11
85668045,10
85668049,12
85668053,11
85668059,12
85668063,12
85668067,11
85668071,11
85668073,12
85668077,12
85668079,12
85668081,12
85668083,9
85668085,10
85668089,10
85668095,9
85668099,10
85668103,10
85668105,10
85668109,10
85668115,12
85668119,9
85668123,8
85668127,7
85668131,3
85668137,1
85668139,7
85668143,1
85668149,1
85668153,1
85668161,3
85668171,5
85668173,5
85668177,4
85668181,5
85668187,5
85668191,7
85668195,8
85668199,7
85668205,8
85668209,10
85668211,8
85668215,8
85668221,8
85668225,8
85668229,8
85668233,9
85668235,7
85668241,9
85668243,9
85668249,12
85668251,8
85668257,9
85668259,8
85668289,8
85668293,8
85668297,8
85668303,9
85668313,8
85668317,8
85668323,8
85668331,9
85668339,7
85668351,9
85668357,9
85668365,9
85668373,8
85668383,8
85668389,9
85668397,9
85668403,8
85668409,8
85668419,7
85668425,7
85668433,8
85668447,9
85668449,9
85668459,8
85668465,10
85668475,8
85668485,6
85668497,7
85668509,7
85668519,9
85668531,8
85668541,8
85668549,7
85668557,8
85668565,9
85668571,9
85668577,8
85668591,9
85668601,9
85668611,7
85668621,8
85668629,7
85668643,7
85668653,8
85668657,7
85668659,7
85668663,6
85668665,7
85668667,9
85668673,8
85668677,7
85668681,8
